class	property	type	description	accepted_types
LodgingBusiness	amenityFeature	LocationFeatureSpecification	An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.	LocationFeatureSpecification or LocationFeatureSpecification or LocationFeatureSpecification
Accommodation	amenityFeature	LocationFeatureSpecification	An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.	LocationFeatureSpecification or LocationFeatureSpecification or LocationFeatureSpecification
Person	alumniOf	Organization	An organization that the person is an alumni of.	Organization or EducationalOrganization
Person	alumniOf	EducationalOrganization	An organization that the person is an alumni of.	Organization or EducationalOrganization
Organization	alumni	Person	Alumni of an organization.	Person or Person
EducationalOrganization	alumni	Person	Alumni of an organization.	Person or Person
CreativeWork	alternativeHeadline	Text	A secondary title of the CreativeWork.	Text
Thing	alternateName	Text	An alias for the item.	Text
AlignmentObject	alignmentType	Text	A category of alignment between the learning resource and the framework node. Recommended values include: 'assesses', 'teaches', 'requires', 'textComplexity', 'readingLevel', 'educationalSubject', and 'educationalLevel'.	Text
MusicGroup	albums	MusicAlbum	A collection of music albums.	MusicAlbum
MusicAlbum	albumReleaseType	MusicAlbumReleaseType	The kind of release which this album is: single, EP or album.	MusicAlbumReleaseType
MusicAlbum	albumRelease	MusicRelease	A release of this album.	MusicRelease
MusicAlbum	albumProductionType	MusicAlbumProductionType	Classification of the album by it's type of content: soundtrack, live album, studio album, etc.	MusicAlbumProductionType
MusicGroup	album	MusicAlbum	A music album.	MusicAlbum
Flight	aircraft	Vehicle	"The kind of aircraft (e.g., ""Boeing 747"")."	Vehicle or Text
Flight	aircraft	Text	"The kind of aircraft (e.g., ""Boeing 747"")."	Vehicle or Text
Service	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Product	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Place	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Organization	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Offer	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Event	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
CreativeWork	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Brand	aggregateRating	AggregateRating	The overall rating, based on a collection of reviews or ratings, of the item.	AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating or AggregateRating
Action	agent	Person	The direct performer or driver of the action (animate or inanimate). e.g. *John* wrote a book.	Person or Organization
Action	agent	Organization	The direct performer or driver of the action (animate or inanimate). e.g. *John* wrote a book.	Person or Organization
HowToDirection	afterMedia	MediaObject	A media object representing the circumstances after performing this direction.	MediaObject
Person	affiliation	Organization	An organization that this person is affiliated with. For example, a school/university, a club, or a team.	Organization
Offer	advanceBookingRequirement	QuantitativeValue	The amount of time that is required between accepting the offer and the actual usage of the resource or service.	QuantitativeValue or QuantitativeValue
Demand	advanceBookingRequirement	QuantitativeValue	The amount of time that is required between accepting the offer and the actual usage of the resource or service.	QuantitativeValue or QuantitativeValue
PostalAddress	addressRegion	Text	The region. For example, CA.	Text
PostalAddress	addressLocality	Text	The locality. For example, Mountain View.	Text
PostalAddress	addressCountry	Text	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
PostalAddress	addressCountry	Country	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
GeoShape	addressCountry	Text	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
GeoShape	addressCountry	Country	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
GeoCoordinates	addressCountry	Text	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
GeoCoordinates	addressCountry	Country	The country. For example, USA. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1).	Text or Country or Text or Country or Text or Country
Place	address	Text	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
Place	address	PostalAddress	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
Person	address	Text	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
Person	address	PostalAddress	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
Organization	address	Text	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
Organization	address	PostalAddress	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
GeoShape	address	Text	Physical address of the item.	Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress or Text or PostalAddress
